1	"Congenital malformation syndromes predominantly involving limbs"	"Radial aplasia-thrombocytopenia syndrome"
0	"Congenital malformation syndromes predominantly involving limbs"	"Age related macular degeneration (eye condition)"
1	"Felty's syndrome, multiple sites"	"Felty's syndrome of multiple sites"
0	"Felty's syndrome, multiple sites"	"Juvenile seronegative polyarthritis"
1	"Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy"	"DM 2 w diabetic autonomic neuropathy"
0	"Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy"	"Ankylosis of left knee joint"
1	"Other drug induced secondary parkinsonism"	"Drug induced parkinsonism"
0	"Other drug induced secondary parkinsonism"	"Infective myositis of right hand"
1	"Adult osteochondrosis of spine, occipito-atlanto-axial region"	"Adult osteochondrosis, occipitoatlantoaxial spine"
0	"Adult osteochondrosis of spine, occipito-atlanto-axial region"	"Family history: Infectious disease (situation)"
1	"Acquired absence of left thumb"	"History of left thumb amputation (situation)"
0	"Acquired absence of left thumb"	"Severe manic bipolar I disorder"
1	"Melanocytic nevi of unspecified part of face"	"Melanocytic nevus of face"
0	"Melanocytic nevi of unspecified part of face"	"Varicose ulcer of right calf with inflammation limited to skin layer"
1	"Chronic osteomyelitis with draining sinus, right shoulder"	"Chronic osteomyelitis of right shoulder with draining sinus"
0	"Chronic osteomyelitis with draining sinus, right shoulder"	"Enteropathic arthritis of L hand"
1	"Unspecified conjunctivitis"	"Burn of pharynx"
0	"Unspecified conjunctivitis"	"Nontraumatic hemispheric cortical intracerebral hemorrhage"
1	"Secondary and unspecified malignant neoplasm of lymph node, unspecified"	"Squamous cell carcinoma metastatic to LN"
0	"Secondary and unspecified malignant neoplasm of lymph node, unspecified"	"Pneumococcal arthritis of left shoulder"
1	"Carbuncle of right foot"	"Right carbuncle of foot"
0	"Carbuncle of right foot"	"History of congenital malformation of eye previously corrected (situation)"
1	"Benign neoplasm of uterine tubes and ligaments"	"Benign neoplasm, fallopian tube"
0	"Benign neoplasm of uterine tubes and ligaments"	"R upper mechanical entropion"
1	"Paving stone degeneration of retina, bilateral"	"Retinal paving stone degeneration, both eyes"
0	"Paving stone degeneration of retina, bilateral"	"Synovial rupture of right elbow"
1	"Prominent ear"	"Prominent ears"
0	"Prominent ear"	"Acute conjunctivitis, both eyes"
1	"Idiopathic aseptic necrosis of unspecified radius"	"Aseptic necrosis of radius"
0	"Idiopathic aseptic necrosis of unspecified radius"	"Hx of pancreas transplant"
1	"Mycobacterial infection, unspecified"	"Mycobacteriosis"
0	"Mycobacterial infection, unspecified"	"Hemophilus influenza infection"
1	"Other inflammatory and immune myopathies, not elsewhere classified"	"Inflammatory myopathy"
0	"Other inflammatory and immune myopathies, not elsewhere classified"	"Carcinoma in situ of skin of eyelid"
1	"Coarctation of pulmonary artery"	"Congenital coarctation of pulmonary artery"
0	"Coarctation of pulmonary artery"	"Myoneural disorder"
1	"Folds in Descemet's membrane, bilateral"	"Descemets membrane fold, both eyes"
0	"Folds in Descemet's membrane, bilateral"	"Drug induced gout of vertebra"
1	"Personality change due to known physiological condition"	"Personality change due to medical disorder"
0	"Personality change due to known physiological condition"	"Jaccoud's arthropathy of left ankle and/or foot"
1	"Myogenic ptosis of bilateral eyelids"	"Myogenic ptosis, both eyes"
0	"Myogenic ptosis of bilateral eyelids"	"Hyperesthesia (increased sensitivity)"
1	"Chloasma of left eye, unspecified eyelid and periocular area"	"Chloasma, left eyelid and periocular area"
0	"Chloasma of left eye, unspecified eyelid and periocular area"	"Amebiasis of skin"
1	"Personal history of unspecified abuse in childhood"	"History of child abuse (situation)"
0	"Personal history of unspecified abuse in childhood"	"Ventricular premature beats"
1	"Partial loss of teeth, unspecified cause, class III"	"Partial edentulism, class 3"
0	"Partial loss of teeth, unspecified cause, class III"	"Deep vascularization of cornea"
1	"Refractory anemia with ring sideroblasts"	"Anemia, ringed sideroblasts, refractory"
0	"Refractory anemia with ring sideroblasts"	"Transplanted organ failure"
1	"Paralytic calcification and ossification of muscle, right thigh"	"Paralytic calcification of right thigh muscle"
0	"Paralytic calcification and ossification of muscle, right thigh"	"Dubin Johnson syndrome"
1	"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, unspecified extremity"	"Atherosclerosis of autologous vein bypass graft of limb"
0	"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, unspecified extremity"	"Cystic meniscus of right lateral posterior horn"
1	"Puckering of macula, left eye"	"Left macular pucker (eye condition)"
0	"Puckering of macula, left eye"	"Leprosy"
1	"Acute hematogenous osteomyelitis, unspecified femur"	"Acute hematogenous osteomyelitis of femur"
0	"Acute hematogenous osteomyelitis, unspecified femur"	"Loose body in left wrist joint"
1	"Unspecified corneal edema"	"Microcystic corneal edema"
0	"Unspecified corneal edema"	"Foreign body granuloma of soft tissue of forearm"
1	"Candidal otitis externa"	"Candida otitis externa"
0	"Candidal otitis externa"	"Burn involving 60-69 percent of body surface, with 40-49 percent of body surface with full thickness burn"
1	"Monoarthritis, not elsewhere classified, right knee"	"Monoarthritis of right knee"
0	"Monoarthritis, not elsewhere classified, right knee"	"Hypothalamic insufficiency, exercise induced"
1	"Pressure ulcer of head, stage 1"	"Pressure ulcer stage 1 of head"
0	"Pressure ulcer of head, stage 1"	"Hermansky Pudlak syndrome"
1	"Derangement of anterior horn of lateral meniscus due to old tear or injury, left knee"	"Derangement of lateral meniscus due to old injury"
0	"Derangement of anterior horn of lateral meniscus due to old tear or injury, left knee"	"Hallucinogen abuse"
1	"Keratoconus, unstable, unspecified eye"	"Unstable keratoconus"
0	"Keratoconus, unstable, unspecified eye"	"Paralytic calcification of hand muscle"
1	"Monoarthritis, not elsewhere classified, right hand"	"Monoarthritis of R hand"
0	"Monoarthritis, not elsewhere classified, right hand"	"Calcification of cervical disc"
1	"Bipolar disorder, in full remission, most recent episode hypomanic"	"Bipolar disorder, hypomanic, in full remission"
0	"Bipolar disorder, in full remission, most recent episode hypomanic"	"Left lower cicatricial lagophthalmos"
1	"Intermittent hydrarthrosis, left ankle and foot"	"Hydrarthrosis of left ankle, intermittent"
0	"Intermittent hydrarthrosis, left ankle and foot"	"Paralytic calcification of multiple muscles"
1	"Bipolar disorder, in partial remission, most recent episode hypomanic"	"Bipolar disorder, hypomanic, in partial remission"
0	"Bipolar disorder, in partial remission, most recent episode hypomanic"	"Retinopathy of prematurity"
1	"Chronic congestive splenomegaly"	"Splenomegaly, congestive, chronic"
0	"Chronic congestive splenomegaly"	"Localized swelling on forearm"
1	"Acute mastoiditis without complications, right ear"	"Right acute mastoiditis"
0	"Acute mastoiditis without complications, right ear"	"Pressure ulcer of back stage 4"
1	"Eyelid retraction right eye, unspecified eyelid"	"R eyelid retraction"
0	"Eyelid retraction right eye, unspecified eyelid"	"Rheumatoid nodule of right knee"
1	"Diverticulitis of both small and large intestine without perforation or abscess without bleeding"	"Diverticulitis of small and large intestine"
0	"Diverticulitis of both small and large intestine without perforation or abscess without bleeding"	"Splenomegaly, congestive, chronic"
1	"Mood disorder due to known physiological condition, unspecified"	"Organic mood disorder"
0	"Mood disorder due to known physiological condition, unspecified"	"Secondary noninfectious iritis"
1	"Oligospermia due to obstruction of efferent ducts"	"Oligozoospermia due to obstruction of efferent ducts"
0	"Oligospermia due to obstruction of efferent ducts"	"Ankylosing hyperostosis of thoracolumbar spine"
1	"Airway disease due to other specific organic dusts"	"Pneumoconiosis due to organic dust"
0	"Airway disease due to other specific organic dusts"	"Ulcerative colitis, chronic, moderate"
1	"Erysipelothrix sepsis"	"Sepsis due to Erysipelothrix"
0	"Erysipelothrix sepsis"	"Diabetes in pregnancy"
1	"Villonodular synovitis (pigmented), left knee"	"Pigmented villonodular synovitis of L knee"
0	"Villonodular synovitis (pigmented), left knee"	"Nephropathy due to heroin"
1	"Pressure ulcer of left heel, stage 3"	"Pressure ulcer of left heel stage 3"
0	"Pressure ulcer of left heel, stage 3"	"L chronic dacryocystitis"
1	"Gynephobia"	"Gynaephobia"
0	"Gynephobia"	"Pressure ulcer of ankle stage 4"
1	"Secondary malignant neoplasm of cerebral meninges"	"Cancer metastatic to cerebral meninges"
0	"Secondary malignant neoplasm of cerebral meninges"	"Complete physeal arrest of L distal tibia"
1	"Venous engorgement, bilateral"	"Venous retinal engorgement, both eyes"
0	"Venous engorgement, bilateral"	"Benign neoplasm of right orbit"
1	"Follicular lymphoma grade II, lymph nodes of multiple sites"	"Lymphoma follic mix sm cleaved lg cell, mult LN"
0	"Follicular lymphoma grade II, lymph nodes of multiple sites"	"Phlegmonous dacryocystitis, both eyes"
1	"Herpesviral ocular disease, unspecified"	"Herpes simplex retinal pigment epithelial detachment"
0	"Herpesviral ocular disease, unspecified"	"Manic episode wo psychotic symptoms"
1	"Atrioventricular septal defect"	"Ostium primum defect"
0	"Atrioventricular septal defect"	"Polymyositis with lung involvement"
1	"Cellulitis of umbilicus"	"Umbilical cellulitis"
0	"Cellulitis of umbilicus"	"Juvenile arthritis of right ankle and foot"
1	"Calcification and ossification of muscles associated with burns, multiple sites"	"Calcification of multiple muscles due to burns"
0	"Calcification and ossification of muscles associated with burns, multiple sites"	"Fecal impaction in rectum"
